State, Unimplemented Interventions (Recommended by MV PICCS),Total Cost,Total Benefit,Total # of Fatalities Reduced,Total # of Injuries Reduced,Total Cost (w/Fines Excluded),Total Benefit (w/Fines Excluded),Total # of Fatalities Reduced (w/Fines Excluded),Total # of Injuries Reduced (w/Fines Excluded),Percent Reduction in Fatalities,Percent Reduction in Injuries,Notation: Reduction in injuries higher than the number shown. ,Notation: Some strategies not included because of cost-effectiveness.,Notation: Strategies Not included in Analysis    ,
Alabama,1. Increased Seat Belt Fine  2. Speed Camera  3. License Plate Impound  4. Seat Belt Enforcement Campaign  5. Limits on Diversion  6. In Person Renewal  7. Saturation Patrols  ,-51686000,538956000,195,15240,31458000,538956000,195,15240,23,23,No,No,,
Alaska,1. Speed Camera  2. Increased Seat Belt Fine  3. Red Light Camera  4. License Plate Impound  5. Motorcycle Helmet  6. Seat Belt Enforcement Campaign  7. Sobriety Checkpoints  8. Saturation Patrols  9. Limits on Diversion  ,-6426000,64114000,16,1781,13040000,64114000,16,1781,29,29,Yes,Yes,1. Bicycle Helmet                                           ,
Arizona,1.Increased Seat Belt Fine  2.License Plate Impound  3.Motorcycle Helmet  4.Seat Belt Enforcement Campaign  5.Bicycle Helmet  6.Primary Enforcement Seat Belt Law  7.Saturation Patrols,3540000,577288000,162,18822,14898000,577288000,162,18822,21,21,No,No,,
Arkansas,1. Increased Seat Belt Fine  2. Motorcycle Helmet  3. Seat Belt Enforcement Campaign  4. In Person Renewal  5. Saturation Patrols  6. Vehicle Impoundment  7. Bicycle Helmet  8. Red Light Camera  9. Speed Camera,-58483000,511032000,163,16879,53006000,511032000,163,16879,29,29,No,No,,
California,1. Increased Seat Belt Fine  2. License Plate Impound  3. In Person Renewal  4. Seat Belt Enforcement Campaign  5. Saturation Patrols  6. Speed Camera,-98989000,1600000000,506,37617,69705000,1600000000,506,37617,19,19,No,No,,
Colorado,1. License Plate Impound  2. Motorcycle Helmet  3. Seat Belt Enforcement Campaign  4. In Person Renewal  5. Primary Enforcement Seat Belt Law  6. Bicycle Helmet   7. Saturation Patrols  8. Vehicle Impoundment,10673000,418555000,104,12243,33101000,418555000,104,12243,23,23,No,No,,
Connecticut,1. Speed Camera  2. Increased Seat Belt Fine  3. Red Light Camera  4. License Plate Impound  5. Motorcycle Helmet  6. Seat Belt Enforcement Campaign  7. Saturation Patrols  8. In Person Renewal  9. Limits on Diversion,-6321000,406959000,91,9674,22806000,406959000,91,9674,29,29,No,No,,
Delaware,1. Speed Camera  2. Increased Seat Belt Fine  3. Motorcycle Helmet  4. Seat Belt Enforcement Campaign  5. Saturation Patrols  6. In Person Renewal  7. Limits on Diversion,-2176000,84787000,24,2232,3627000,84787000,24,2232,24,24,No,No,,
District of Columbia,1. Increased Seat Belt Fine  2. Saturation Patrols  3. Seat Belt Enforcement Campaign  4. In Person Renewal,1821000,7775000,2,131,2755000,7775000,2,131,8,8,No,Yes,1. Alcohol Interlocks  2. License Plate Impound  3. Limits on Diversion  4. Vehicle Impoundment ,
Florida,1. Increased Seat Belt Fine  2. Speed Camera  3. License Plate Impound  4. Motorcycle Helmet  5. Seat Belt Enforcement Campaign  6. In Person Renewal  7. Saturation Patrols,-61571000,1970330000,501,60469,54872000,1970330000,501,60469,20,20,No,No,,
Georgia,1. Increased Seat Belt Fine  2. Speed Camera  3. In Person Renewal  4. Seat Belt Enforcement Campaign  5. Saturation Patrols  6. Vehicle Impoundment  7. Limits on Diversion,-56441000,674075000,239,18455,76551000,674075000,239,18455,19,19,No,No,,
Hawaii,1. Speed Camera  2. Increased Seat Belt Fine  3. Red Light Camera  4. Motorcycle Helmet  5. Seat Belt Enforcement Campaign  6. Saturation Patrols  7. Vehicle Impoundment  8. Limits on Diversion,2151000,128151000,34,3743,13661000,128151000,34,3743,30,30,No,No,,
Idaho,1. Speed Camera  2. Increased Seat Belt Fine  3. Red Light Camera  4. License Plate Impound  5. Motorcycle Helmet  6. Seat Belt Enforcement Campaign  7. Primary Enforcement Seat Belt Law  8. Alcohol Interlocks  9. Sobriety Checkpoints  10. Bicycle Helmet  11. Saturation Patrols  12. Vehicle Impoundment  13. Limits on Diversion,-24754000,251880000,82,7939,37260000,251880000,82,7939,39,39,Yes,No,,
Illinois,1. Increased Seat Belt Fine  2. Motorcycle Helmet  3. Bicycle Helmet  4. Seat Belt Enforcement Campaign  5. Saturation Patrols  6. Limits on Diversion,14830000,719413000,184,21120,31560000,719413000,184,21120,20,20,No,No,,
Indiana ,1. Increased Seat Belt Fine  2. Speed Camera  3. Red Light Camera  4. License Plate Impound  5. In Person Renewal  6. Alcohol Interlocks  7. Motorcycle Helmet  8. Seat Belt Enforcement Campaign  9. Bicycle Helmet  10. Saturation Patrols  11. Vehicle Impoundment  12. Limits on Diversion,-51470000,764688000,230,23968,78384000,764688000,230,23968,31,31,No,No,,
Iowa ,1. Speed Camera  2. Increased Seat Belt Fine  3. Red Light Camera  4. Alcohol Interlocks  5. Motorcycle Helmet  6. Seat Belt Enforcement Campaign  7. In Person Renewal  8. Bicycle Helmet  9. Sobriety Checkpoints  10. Saturation Patrols  11. Limits on Diversion,-60394000,378203000,108,11881,68971000,378203000,108,11881,28,28,Yes,No,,
Kansas ,1. Speed Camera  2. Increased Seat Belt Fine  3. Red Light Camera  4. Seat Belt Enforcement Campaign  5. Motorcycle Helmet  6. Saturation Patrols     7. Bicycle Helmet,-86305000,387613000,117,11213,69172000,387613000,117,11213,27,27,No,No,,
Kentucky ,1. Increased Seat Belt Fine  2. Red Light Camera  3. Speed Camera  4. Alcohol Interlocks  5. Motorcycle Helmet  6. Seat Belt Enforcement Campaign  7. Saturation Patrols  8. Bicycle Helmet  9. Vehicle Impoundment,-43530000,726586000,239,22710,54126000,726586000,239,22710,31,31,No,No,,
Louisiana,1. Increased Seat Belt Fine  2. License Plate Impound  3. Seat Belt Enforcement Campaign  4. Vehicle Impoundment  5. Saturation Patrols  6. Limits on Diversion,4184000,364993000,134,9440,13594000,364993000,134,9440,19,19,No,No,,
Maine,1. Speed Camera  2. Increased Seat Belt Fine  3. Red Light Camera  4. Motorcycle Helmet  5. Alcohol Interlocks  6. Seat Belt Enforcement Campaign  7. In Person Renewal  8. Saturation Patrols  9. Limits on Diversion,-11260000,171115000,53,5129,17093000,171115000,53,5129,33,33,No,No,,
Maryland,1. Increased Seat Belt Fine  2. Seat Belt Enforcement Campaign  3. Saturation Patrols  4. In Person Renewal  5. Limits on Diversion,19066000,247682000,74,5527,28419000,247682000,74,5527,15,15,No,No,,
Massachusetts,1. Increased Seat Belt Fine  2. Speed Camera  3. Red Light Camera  4. Seat Belt Enforcement Campaign  5. Vehicle Impoundment  6. Saturation Patrols  7. Primary Enforcement Seat Belt Law  ,-14570000,272854000,76,5836,34317000,272854000,76,5836,24,24,No,No,,
Michigan,1. Increased Seat Belt Fine  2. Bicycle Helmet  3. Seat Belt Enforcement Campaign  4. In Person Renewal  5. Sobriety Checkpoints  6. Saturation Patrols  7. Red Light Camera  8. Speed Camera  9. Vehicle Impoundment,-61002000,701138000,242,18896,94483000,701138000,242,18896,26,26,Yes,No,,
Minnesota,1. Speed Camera  2. Increased Seat Belt Fine  3. Red Light Camera  4. Motorcycle Helmet  5. Seat Belt Enforcement Campaign  6. Bicycle Helmet  7. Sobriety Checkpoints  8. Saturation Patrols  9. Limits on Diversion,-67117000,426047000,115,11833,99701000,426047000,115,11833,28,28,Yes,No,,
Mississippi,1. Increased Seat Belt Fine  2. Speed Camera  3. Red Light Camera  4. License Plate Impound  5. Seat Belt Enforcement Campaign  6. Alcohol Interlocks  7. Bicycle Helmet  8. Saturation Patrols,-47152000,358309000,133,10873,35470000,358309000,133,10873,21,21,No,No,,
Missouri,1. Speed Camera  2. Increased Seat Belt Fine  3. Red Light Camera  4. License Plate Impound  5. Seat Belt Enforcement Campaign  6. Primary Enforcement Seat Belt Law  7. Saturation Patrols  8. Bicycle Helmet  9. Limits on Diversion,-75193000,735277000,248,20641,85411000,735277000,248,20641,30,30,No,No,,
Montana,1. Increased Seat Belt Fine  2. License Plate Impound  3. Motorcycle Helmet  4. Seat Belt Enforcement Campaign  5. Primary Enforcement Seat Belt Law  6. Sobriety Checkpoints  7. In Person Renewal  8. Saturation Patrols  9. Vehicle Impoundment  10. Limits on Diversion  11. Speed Camera  12. Red Light Camera,-42284000,272340000,90,8129,41296000,272340000,90,8129,48,48,Yes,Yes, 1. Bicycle Helmet,
