,fips id,State,Sobriety Checkpoints: Intervention Implemented?,Sobriety Checkpoints: Benefit $/year,Sobriety Checkpoints: Cost $/year,Sobriety Checkpoints (Fines Excluded): Benefit $/year,Sobriety Checkpoints (Fines Excluded): Cost $/year,Sobriety Checkpoints: # of Fatalities Reduced,Sobriety Checkpoints: Percent Reduction in Fatalities,Sobriety Checkpoints: # of Injuries Reduced,Sobriety Checkpoints: Percent Reduction in Injuries ,Bicycle Helmet: Intervention Implemented?,Bicycle Helmet: Benefit $/year,Bicycle Helmet: Cost $/year,Bicycle Helmet: (Fines Excluded): Benefit $/year,Bicycle Helmet (Fines Excluded): Cost $/year,Bicycle Helmet: # of Fatalities Reduced,Bicycle Helmet: Percent Reduction in Fatalities,Bicycle Helmet: # of Injuries Reduced,Bicycle Helmet: Percent Reduction in Injuries,Motorcycle Helmet: Intervention Implemented?,Motorcycle Helmet: Benefit $/year,Motorcycle Helmet: Cost $/year,Motorcycle Helmet (Fines Excluded): Benefit $/year,Motorcycle Helmet (Fines Excluded): Cost $/year,Motorcycle Helmet: # of Fatalities Reduced ,Motorcycle Helmet: Percent Reduction in Fatalities ,Motorcycle Helmet: # of Injuries Reduced ,Motorcycle Helmet: Percent Reduction in Injuries,Red Light Camera: Intervention Implemented?,Red Light Camera: Benefit $/year,Red Light Camera: Cost $/year,Red Light Camera (Fines Excluded): Benefit $/year,Red Light Camera (Fines Excluded): Cost $/year,Red Light Camera: # of Fatalities Reduced ,Red Light Camera: Percent Reduction in Fatalities ,Red Light Camera: # of Injuries Reduced ,Red Light Camera: Percent Reduction in Injuries,Speed Camera: Intervention Implemented?,Speed Camera: Benefit $/year,Speed Camera: Cost $/year,Speed Camera (Fines Excluded): Benefit $/year,Speed Camera (Fines Excluded): Cost $/year,Speed Camera: # of Fatalities Reduced ,Speed Camera: Percent Reduction in Fatalities ,Speed Camera: # of Injuries Reduced ,Speed Camera: Percent Reduction in Injuries,Alcohol Interlocks: Intervention Implemented?,Alcohol Interlocks: Benefit $/year,Alcohol Interlocks: Cost $/year,Alcohol Interlocks (Fines Excluded): Benefit $/year,Alcohol Interlocks (Fines Excluded): Cost $/year,Alcohol Interlocks: # of Fatalities Reduced ,Alcohol Interlocks: Percent Reduction in Fatalities ,Alcohol Interlocks: # of Injuries Reduced ,Alcohol Interlocks: Percent Reduction in Injuries,Saturation Patrols: Intervention Implemented?,Saturation Patrols: Benefit $/year,Saturation Patrols: Cost $/year,Saturation Patrols (Fines Excluded): Benefit $/year,Saturation Patrols (Fines Excluded): Cost $/year,Saturation Patrols: # of Fatalities Reduced,Saturation Patrols: Percent Reduction in Fatalities ,Saturation Patrols: # of Injuries Reduced,Saturation Patrols: Percent Reduction in Injuries,Primary Enforcement Seat Belt Law: Intervention Implemented?,Primary Enforcement Seat Belt Law: Benefit $/year,Primary Enforcement Seat Belt Law: Cost $/year, Primary Enforcement Seat Belt Law (Fines Excluded): Benefit $/year,Primary Enforcement Seat Belt Law (Fines Excluded): Cost $/year,Primary Enforcement Seat Belt Law: # of Fatalities Reduced,Primary Enforcement Seat Belt Law: Percent Reduction in Fatalities ,Primary Enforcement Seat Belt Law: # of Injuries Reduced,Primary Enforcement Seat Belt Law: Percent Reduction in Injuries,License Plate Impound: Intervention Implemented?,License Plate Impound: Benefit $/year,License Plate Impound: Cost $/year, License Plate Impound (Fines Excluded): Benefit $/year,License Plate Impound (Fines Excluded): Cost $/year,License Plate Impound: # of Fatalities Reduced,License Plate Impound: Percent Reduction in Fatalities ,License Plate Impound:  # of Injuries Reduced,License Plate Impound: Percent Reduction in Injuries,Limits on Diversion: Intervention Implemented?,Limits on Diversion: Benefit $/year,Limits on Diversion: Cost $/year,Limits on Diversion (Fines Excluded): Benefit $/year,Limits on Diversion (Fines Excluded): Cost $/year,Limits on Diversion: # of Fatalities Reduced,Limits on Diversion: Percent Reduction in Fatalities ,Limits on Diversion: # of Injuries Reduced,Limits on Diversion: Percent Reduction in Injuries,Seat Belt Enforcement Campaign: Intervention Implemented?,Seat Belt Enforcement Campaign: Benefit $/year,Seat Belt Enforcement Campaign: Cost $/year, Seat Belt Enforcement Campaign (Fines Excluded): Benefit $/year,Seat Belt Enforcement Campaign (Fines Excluded): Cost $/year,Seat Belt Enforcement Campaign: # of Fatalities Reduced,Seat Belt Enforcement Campaign: Percent Reduction in Fatalities ,Seat Belt Enforcement Campaign: # of Injuries Reduced,Seat Belt Enforcement Campaign: Percent Reduction in Injuries,Vehicle Impoundment: Intervention Implemented?,Vehicle Impoundment: Benefit $/year,Vehicle Impoundment: Cost $/year,Vehicle Impoundment (Fines Excluded): Benefit $/year,Vehicle Impoundment (Fines Excluded): Cost $/year,Vehicle Impoundment: # of Fatalities Reduced,Vehicle Impoundment: Percent Reduction in Fatalities ,Vehicle Impoundment: # of Injuries Reduced,Vehicle Impoundment: Percent Reduction in Injuries,In Person Renewal: Intervention Implemented?,In Person Renewal: Benefit $/year,In Person Renewal: Cost $/year,In Person Renewal (Fines Excluded): Benefit $/year,In Person Renewal (Fines Excluded): Cost $/year,In Person Renewal: # of Fatalities Reduced,In Person Renewal: Percent Reduction in Fatalities ,In Person Renewal: # of Injuries Reduced,In Person Renewal: Percent Reduction in Injuries,Increased Seat Belt Fine: Intervention Implemented?,Increased Seat Belt Fine: Benefit $/year,Increased Seat Belt Fine: Cost $/year,Increased Seat Belt Fine (Fines Excluded): Benefit $/year,Increased Seat Belt Fine (Fines Excluded): Cost $/year,Increased Seat Belt Fine: # of Fatalities Reduced,Increased Seat Belt Fine: Percent Reduction in Fatalities ,Increased Seat Belt Fine: # of Injuries Reduced,Increased Seat Belt Fine: Percent Reduction in Injuries
,1,Alabama                                                                                                                                                                                                                                                        ,Yes,47769000,2139000,47769000,3314000,16,2,1433,2,Yes,4103000,258000,4103000,258000,1,0.12,154,0.12,Yes,157754000,1136000,157754000,1200000,25,3,6575,3,Yes,58409000,-5028000,58409000,17408000,20,2,1722,2,No,107017000,-57703000,107017000,21642000,38,4,3103,4,Yes,36626000,116000,36626000,116000,19,2,677,2,No,69343000,4939000,69343000,6606000,35,4,1282,4,Yes,161695000,1539000,161695000,3442000,49,6,5187,6,No,41204000,67000,41204000,118000,21,2,762,2,No,16787000,191000,16787000,296000,9,1,310,1,No,124736000,950000,124736000,1337000,38,4,4002,4,Yes,46393000,149000,46393000,298000,24,3,858,3,No,27067000,1459000,27067000,1459000,9,1,818,1,No,166315000,-1729000,166315000,0,51,6,5335,6
,2,Alaska                                                                                                                                                                                                                                                         ,No,5367000,542000,5367000,719000,2,4,137,4,No,0,95000,0,95000,0,0.00,0,0.00,No,19056000,369000,19056000,383000,3,5,688,5,No,3480000,-678000,3480000,2856000,1,2,88,2,No,9219000,-8974000,9219000,3523000,3,5,228,5,Yes,557000,149000,557000,149000,0,0,9,0,No,7900000,1022000,7900000,1560000,3,5,123,5,Yes,11029000,706000,11029000,992000,3,5,303,5,No,627000,-583000,627000,205000,0,0,10,0,No,256000,1778000,256000,3399000,0,0,4,0,No,8508000,337000,8508000,395000,2,4,234,4,Yes,706000,666000,706000,2965000,0,0,11,0,Yes,1267000,63000,1267000,63000,0,0,33,0,No,11344000,-260000,11344000,0,3,5,312,5
,4,Arizona                                                                                                                                                                                                                                                        ,Yes,42283000,3239000,42283000,4824000,14,2,1245,2,No,13247000,358000,13247000,358000,3,0.39,489,0.39,No,172087000,1470000,172087000,1538000,27,4,7034,4,Yes,64558000,-2679000,64558000,11254000,22,3,1868,3,Yes,79428000,-35390000,79428000,13883000,27,4,2260,4,Yes,14822000,128000,14822000,128000,7,1,269,1,No,61335000,3719000,61335000,4046000,31,4,1114,4,No,111968000,4200000,111968000,6769000,33,4,3525,4,No,16674000,-5808000,16674000,518000,8,1,303,1,Yes,6793000,10705000,6793000,23725000,3,0,123,0,No,86375000,1687000,86375000,2209000,26,3,2719,3,Yes,18774000,4285000,18774000,22741000,9,1,341,1,Yes,41371000,406000,41371000,406000,14,2,1226,2,No,115167000,-2334000,115167000,0,34,4,3625,4
,5,Arkansas                                                                                                                                                                                                                                                       ,Yes,42046000,1144000,42046000,1862000,15,3,1310,3,No,663000,177000,663000,177000,0,0.00,26,0.00,No,149804000,653000,149804000,690000,24,4,6422,4,No,44306000,-5507000,44306000,17502000,16,3,1357,3,No,35525000,-59529000,35525000,21844000,13,2,1071,2,Yes,26420000,109000,26420000,109000,14,2,512,2,No,60451000,4346000,60451000,6173000,32,6,1172,6,Yes,97530000,810000,97530000,1975000,31,6,3244,6,Yes,29722000,-1201000,29722000,182000,16,3,576,3,Yes,12109000,1572000,12109000,4417000,6,1,235,1,No,75237000,589000,75237000,826000,24,4,2502,4,No,33465000,1018000,33465000,5052000,18,3,649,3,No,16683000,743000,16683000,743000,6,1,523,1,No,100316000,-1058000,100316000,0,32,6,3337,6
,6,California                                                                                                                                                                                                                                                     ,Yes,229999000,14941000,229999000,19527000,66,2,5919,2,Yes,77552000,951000,77552000,951000,15,0.55,2548,0.55,Yes,734816000,8517000,734816000,8895000,102,4,26988,4,Yes,254117000,-5775000,254117000,33993000,75,3,6422,3,No,316299000,-99144000,316299000,41498000,95,3,7851,3,Yes,89263000,144000,89263000,144000,38,1,1381,1,No,342507000,13588000,342507000,15327000,146,5,5298,5,Yes,409053000,18296000,409053000,25727000,107,4,11313,4,No,100421000,-17163000,100421000,1432000,43,2,1553,2,Yes,40912000,53680000,40912000,91954000,17,1,633,1,No,315555000,8121000,315555000,9632000,83,3,8727,3,Yes,113066000,12362000,113066000,66619000,48,2,1749,2,No,122652000,1815000,122652000,1815000,35,1,3180,1,No,420740000,-4470000,420740000,0,110,4,11636,4
,8,Colorado                                                                                                                                                                                                                                                       ,Yes,37446000,2770000,37446000,4021000,11,2,977,2,No,6179000,286000,6179000,286000,1,0.22,206,0.22,No,168275000,1301000,168275000,1362000,24,5,6269,5,Yes,88312000,-4478000,88312000,15869000,26,6,2262,6,Yes,62646000,-52250000,62646000,19710000,19,4,1576,4,Yes,13854000,135000,13854000,135000,6,1,217,1,No,55799000,4944000,55799000,5926000,24,5,874,5,No,81698000,3492000,81698000,5520000,22,5,2291,5,No,15586000,-4417000,15586000,451000,7,2,244,2,Yes,6350000,9358000,6350000,19377000,3,1,99,1,No,63024000,1369000,63024000,1781000,17,4,1767,4,No,17549000,3333000,17549000,17536000,8,2,275,2,No,19596000,707000,19596000,707000,6,1,515,1,Yes,84032000,-1842000,84032000,0,22,5,2356,5
,9,Connecticut                                                                                                                                                                                                                                                    ,Yes,35013000,2364000,35013000,3240000,9,3,767,3,Yes,6303000,212000,6303000,212000,1,0.31,180,0.31,No,122923000,966000,122923000,999000,15,5,3976,5,No,31253000,-586000,31253000,4339000,8,3,671,3,No,55044000,-12150000,55044000,5268000,14,4,1160,4,Yes,12921000,150000,12921000,150000,5,2,165,2,No,53764000,1935000,53764000,2586000,19,6,686,6,Yes,63657000,2596000,63657000,4015000,14,4,1507,4,No,14536000,-1254000,14536000,259000,5,2,186,2,No,5922000,4186000,5922000,7299000,2,1,76,1,No,49107000,1032000,49107000,1320000,11,3,1163,3,Yes,16367000,1144000,16367000,5557000,6,2,209,2,No,14067000,735000,14067000,735000,3,1,311,1,No,65476000,-1289000,65476000,0,15,5,1550,5
,10,Delaware                                                                                                                                                                                                                                                       ,Yes,9801000,579000,9801000,801000,3,3,253,3,Yes,2351000,92000,2351000,92000,0,0.00,77,0.00,No,16698000,362000,16698000,374000,2,2,612,2,Yes,9201000,-113000,9201000,1335000,3,3,234,3,No,16299000,-3512000,16299000,1608000,5,5,406,5,Yes,7223000,133000,7223000,133000,3,3,113,3,No,14504000,534000,14504000,741000,6,6,227,6,Yes,17317000,728000,17317000,1087000,5,5,480,5,Yes,8126000,93000,8126000,136000,4,4,127,4,No,3310000,201000,3310000,290000,1,1,52,1,No,13359000,351000,13359000,424000,4,4,371,4,Yes,9149000,162000,9149000,288000,4,4,143,4,No,3769000,189000,3769000,189000,1,1,98,1,No,17812000,-222000,17812000,0,5,5,494,5
,11,District of Columbia                                                                                                                                                                                                                                           ,Yes,2485000,494000,2485000,645000,1,4,51,4,Yes,1913000,90000,1913000,90000,0,0.00,51,0.00,Yes,2494000,250000,2494000,250000,0,0,76,0,Yes,731000,154000,731000,501000,0,0,15,0,Yes,3545000,-660000,3545000,567000,1,4,69,4,No,0,174000,0,174000,0,0,0,0,No,3877000,559000,3877000,1240000,1,4,45,4,Yes,2006000,653000,2006000,898000,0,0,44,0,No,0,167000,0,175000,0,0,0,0,No,0,189000,0,205000,0,0,0,0,No,1548000,336000,1548000,386000,0,0,34,0,No,0,179000,0,202000,0,0,0,0,No,398000,1130000,398000,1130000,0,0,8,0,No,2063000,-327000,2063000,0,0,0,46,0
,12,Florida                                                                                                                                                                                                                                                        ,Yes,146921000,8406000,146921000,13066000,45,2,3987,2,Yes,61935000,798000,61935000,798000,12,0.49,2136,0.49,No,787140000,5175000,787140000,5515000,114,5,30275,5,Yes,758341000,-4547000,758341000,23435000,235,10,20216,10,No,160869000,-70245000,160869000,28716000,51,2,4213,2,Yes,55541000,118000,55541000,118000,25,1,912,1,No,217377000,7933000,217377000,9429000,99,4,3568,4,Yes,348812000,11140000,348812000,18693000,96,4,10160,4,No,62483000,-7241000,62483000,562000,28,1,1026,1,Yes,25456000,9611000,25456000,25671000,12,0,418,0,No,269084000,4415000,269084000,5951000,74,3,7838,3,Yes,70351000,5245000,70351000,28012000,32,1,1155,1,No,133973000,4699000,133973000,4699000,40,2,3663,2,No,358778000,-6861000,358778000,0,99,4,10450,4
